song_name,region,info,song_content
Bekleme Yar,,Ali Yavuz,Gece Sarmış Dört Yanımı  Bekleme Ben Gelemem Oy Ayırır Tenle Canımı  Bekleme Yar Ben Gelemem Oy Çözülmez Bilmecedeyim Gündüz İle Gecedeyim Oy Yıkıntılar İçindeyim Bekleme Yar Gelemem Oy  Toprak Keser Nefesimi  Alır Gider Düşlerimi  Duyuramam Ki Sesimi  Bekleme Yar Ben Gelemem Oy
Beklerim,,Neşet Ertaş,Bu Dünyada Başka Bir Şey İstemem Bir Gönül Alıcı Sözü Beklerim Büsbütün Bu Dünya Al Senin Olsun Bir Tatlı Dil Güler Yüzü Beklerim Bilirim Canların Yapısı Haktır Başka Yerde Derdin Dermanı Yoktur Her Türlü Seyreden Bakışlar Çoktur Dosta Dostça Bakan Gözü Beklerim Felek Çile İçin Şu Beni Seçmiş Ömrümün Bağına Zehirler Saçmış Eyvah Garip Ömrüm Boşuna Geçmiş Daha Ben Baharı Yazı Beklerim
Beklerim Selamın Seher Zamanı,Sivas,Sivas/Karasuvar Köyü-Muzaffer Şahin-Muzaffer Şahin,Beklerim Selamın Seher Zamanı Ilgıt Ilgıt Esen Yelinen Gönder Engel Olur İse Dağlar Dumanı Mektupla Geç Gelir Telinen Gönder Aşk Ataşı Gül Sinende Taşarsa Firgat Gelir Ela Gözler Yaşarsa Irmak Kenarına Yolun Düşerse Bırak Boz Bulanık Selinen Gönder Selviye Benzersin Dallar İçinde Alem Seni Söyler Diller İçinde Eğer Dolaşırsan Güller İçinde Kopar Yaprağını Gülünen Gönder
Bel Bağımın Tokası,Trabzon,Trabzon-Ömer Akpınar-Ahmet Yamacı,Bel Bağımın Tokası Yandan Vuruyor Yandan Alacaksan Al Beni Ben Usandım Bu Candan Penceresinin Camı Sürülmüş Mavi Boya Pencereden Bakana Sarılsam Doya Doya Ben Gemilen Gidemem Yol Yok Mudur Karadan Seni Benim Elimden Ancak Alır Yaradan
Belgrat Yolu Uzun Urgan,Rumeli,Rumeli/Üsküp-Sabri Gencer-Nihat Kaya,Belgrat Yolu Uzun Urgan Üstümüzde Yoktur Yorgan Ağla Benim Anneceğim Ben Belgrat’ta Kaldım Kurban Çıktım Belgrat’ın Düzüne Çizmemi Çektim Dizime Açan Baktım Düşman Geldi Ben Ölümü Aldım Göze Bütün Asker Nöbet Tutar Tabutumdan Kanlar Akar Ağla Benim Anneceğim Üç Evladım Yola Bakar
Beligrat Kal'ası Zemlin Ovası,Rumeli,Rumeli-Kemal Altınkaya-Muzaffer Sarısözen,Beligrat Kal'ası (Dilber Aman Aman) Zemlin Ovası  Atlısı Geçemez (Dilber Aman Aman) Değil Ki Yayası Gönlüm Oldu Benim (Dilber Aman Aman) Zemlin Ovası Belgırat Kal'ası (Dilber Aman Aman)Zemlin Ovası Atlısı Geçemez (Dilber Aman Aman) Değilki Yayası
Belin Başı Tozlu Mozlu,Denizli,Denizli/Acıpayam-Yöre Ekibi-Talip Özkan,Belin Başı Tozlu Mozlu Güzelleri Badem Gözlü Gız Seni Seven Oğlan Sözlü  Gelin Gelin Allı Ay Gelin  Yanakları Ballı Ay Gelin Belin Başı Daşlı Maşlı Güzelleri Galem Gaşlı Gız Seni Seven Oğlan Yaşlı  Gelin Gelin Allı Ay Gelin  Yanakları Ballı Ay Gelin Menevşesi Boyun Eğmiş Yapracığı Suya Değmiş Gız Seni Seven Oğlan Ölmüş  Gelin Gelin Allı Ay Gelin  Yanakları Ballı Ay Gelin
Beline Bağlamış Hançeri Paslı,Erzincan,Erzincan-Erzincan'lı Şerif ,Beline Bağlamış Hançeri Paslı Lisanı İstanbul Erzincan Aslı Sevinin Düşmanlar Dostlarım Yaslı   Aman Doktor Aman Bu Ne İş İdi   Öyle Bir Kar Yağdı Elim Üşüdü Bir Gül Diktim Çolhasan'ın Başına Fahri Yeni Girdi On Beş Yaşına Doktor Rapor Verdi Pirinç Aşına   Aman Doktor Aman Bu Ne İş İdi   Öyle Bir Kar Yağdı Elim Üşüdü Nişanlıma Deyin Yanıma Gelsin Bırakır Giderim Helallık Alsın Babam Anam Yoktur Eller Ağlasın   Aman Doktor Aman Bu Ne İş İdi   Öyle Bir Kar Yağdı Elim Üşüdü Üç Ayda Kırmızı Gül Gibi Soldum Sanki Kapınıza Ben Esir Geldim Son Zamanda Böyle Muratsız Kaldım   Aman Doktor Aman Bu Ne İş İdi   Öyle Bir Kar Yağdı Elim Üşüdü
Belle Beni Bellerinen,Erzurum,Erzurum-Edip Demir-Edip Demir,Belle Beni Bellerinen Akan Giden Sellerinen Nennide De Uyut Beni O Bal Akan Dillerinen Bahçalarda Gara Guzi Guziya Versinler Duzi Ağlatmasınlar Yiğidi Versinler Sevdüği Gızi Ezmeyinen Üzmeyinen Yâr Bulunmaz Gezmeyinen Eşin Benim Mezerimi Altın Saplı Gazmayınan
Bellidir,,Seyyid Nesimi-Yavuz Top,"Bir Kişinin Sorma Aslın, İzzetinden Bellidir Meclis-İ İrfan Olacak Hürmetinden Bellidir Hak-I Teala İlm İçinde Çünkü Simahüm Dedi Bir Kişinin Bak Yüzüne Suretinden Bellidir Dervişin Pirini Sormak Dediler Adet Değil Arifane Yek Nazar Kıl Suretinden Bellidir Ademin Kalbi Mihenktir, Bellidir Belli Beyan Nitekim Bimar-İ Aşkın İlletinden Bellidir Ey Nesimi Gevheri Na-Dan Eline Vermegil Gevheri Sarraf Ne Bilsin Kıymetinden Bellidir"
Bellolmaz,,Aşık Divane,Dertliyim Diyerek Feryat Eyleme Benim Gibi Çekmeyince Bellolmaz Baykuşun Misali Kaldım Yuvada Bülbül Gibi Ötmeyince Bellolmaz   Ömrüm Ömrüm  Bellolmaz Dostum Dostum  Bellolmaz Aman Her Şey Sözde Kalır O Anda Biter Sadık Dost Olanı Gel Bana Göster Yanıyorum Desen Bir Şahit İster Duman Gibi Tütmeyince Bellolmaz  Ömrüm Ömrüm  Bellolmaz Dostum Dostum  Bellolmaz Aman  Üç Beş Kadeh İçmeyince  Bellolmaz Ömrüm Ömrüm  Bellolmaz Dostum Dostum  Bellolmaz Aman Divaneyim Kara Yasa Bürünür Garib Olan Sürüm Sürüm Sürünür Ham Meyva Dalında Güzel Görünür Zaman Gelip Yetmeyince Bellolmaz  Ömrüm Ömrüm  Bellolmaz Dostum Dostum  Bellolmaz Aman
Ben Atımı Nallatırım,Kahramanmaraş,Kahramanmaraş-Ökkeş Eşkin-Muzaffer Sarısözen,Ben Atımı Nallatırım Okka Da Nalıman (Haydi Yallah) Üzerini Çullatırım Acem De Çulunan (Haydi Yallah)  Gözleri Sürmeli (Haydi Yallah)  Elleri Kınalı (Haydi Yallah) Ben Atımı Nallatırım Okka Da Nalıman (Haydi Yallah) Ben Kızları Oynatırım Dökme De Zilinen (Haydi Yallah)  Gözleri Sürmeli (Haydi Yallah)  Elleri Kınalı (Haydi Yallah) Çıktım Cevizin Dalına Dal Kırılıverdi (Haydi Yallah) Girdim Yarin Bahçesine Yar Sarılıverdi (Haydi Yallah)  Gözleri Sürmeli (Haydi Yallah)  Elleri Kınalı (Haydi Yallah)
Ben Ağlarım Yane Yane,Sivas,Sivas-Sırrı Sarısözen-Muzaffer Sarısözen,"Ben Ağlarım Yane Yane Aşk Boyadı Beni Kane Ne Akılem , Ne Divane Gel Gör Beni Aşk Neyledi Derde Giriftar Eyledi Gah Eserim Yeller Gibi Gah Tozarım Yollar Gibi Gah Akarım Seller Gibi Gel Gör Beni Aşk Neyledi Derde Giriftar Eyledi Ben Yunus’u Biçareyim Aşk Elinden Avareyim Baştan Aşağı Yareyim Gel Gör Beni Aşk Neyledi Derde Giriftar Eyledi"
Ben Ağlarım Zarı Zarı,Elazığ,Elazığ-Hafız Osman Öge-Banttan Yazıldı,Ben Ağlarım Zarı (Da) Zarı Yakdı Beni Aşkın Narı Yitirmişim Gül Yüzlü Yârı  Sor Ki Bana Derdin Nedir  Yürekdeki Kurdun Nedir Ben Ağlarım İçin İçin Di Gel De Sor Derdin Niçin Bir Kez Güldür Başın İçin  Sor Ki Bana Derdin Nedir  Yürekdeki Kurdun Nedir
Ben Aşığım Bahardaki Güllere,Erzincan,Erzincan-Âşık Ahmet Bozdemir-TRT,Ben Aşığım Bahardaki Güllere Boz Bulanık Coşup Akan Sellere Benden Selam Olsun Bizim Ellere Meler Koyun Kuzu Ne Halde Erimiştir Şimdi Akpınar’ın Karı Her Andıkça Başlar Gönlüm Ah U Zarı Hayalimde Köyün O Bozkırları Çiğdem Çiçek Açmış Nevruz Ne Halde Ahmed’im Eder Gönlüm Yaralı Aylar Bilinmiyor Yıllar Sıralı Ben Köyümden Ayrı Kaldım Kalalı Cıvıldaşıp Öten Kuşlar Ne Halde
Ben Bağa Vardım Elmadan Aldım,Ağrı,Ağrı-Yöre Ekibi-Muzaffer Sarısözen,Ben Bağa Vardım  Elmadan Aldım  Yârin Haberini Molladan Aldım Ben Bağa Vardım Armuttan Aldım Yârin Haberini Mahmut'tan Aldım
Ben Beyimi Uyandırdım (Ramazan Türküsü),Antalya,Antalya/Akseki-Hesna Yazıcıoğlu-Durmuş Yazıcıoğlu,Ben Beyimi Uyandırdım Gül Yastığa Dayandırdım Sütlü De Kahve Beğendirdim Aslan Beyefendi Binler Yaşa Davulumun İpi Teker Benim Adım Deli Bekir Baklavayı Çokça Getir Yiyemezsem Geri Götür Davulumun İpi Tura Şişti Kolum Vura Vura Aslan Beyin Konağı Da Bura Aslan Beyefendi Binler Yaşa Saat Üçte Çıktım Yola Selam Verdim Sağa Sola Bahşişimi Çabuk Yolla Aslan Beyefendi Binler Yaşa
Ben Bir Altın Fenerim,Şanlıurfa,Şanlıurfa-Halil Biner-Muzaffer Sarısözen,Ben Bir Altın Fenerim Yana Yana Dönerim Erbabına Düşmedim Hâlâ Ona Yanarım Gidin Bulutlar Gidin Yârime Selam Edin Yârim Şirin Uykuda Uykusun Haram Edin
Ben Bir Avuç Darı Olsam,Iğdır,Iğdır-Abdurrahman Yörüktümen-Mustafa Hoşsu,"Ben Bir Avuç Darı Olup Yere Dökülecek Olsam, Goy Beni Nice Neylersin Sen,Beni Nice Neylersin. Sen Bir Avuç Darı Olup Yere Serpilecek Olsan, Ben Bir Güzel Toyuk Olup Seni De Yersem Ne Dersin. Ben Bir Güzel Ceylan Olup Dağa Da Çıkacak Olsam , Goy Beni Nice Neylersin, Sen Beni Nice Neylersin. Ben Bir Güzel Avcı Olup Peşine Gelecek Olsam, Senide Vursam Neylersin, Seni De Vursam Neylersin Ben Bir Güzel Elma Olup Sandığa Girecek Olsam, Goy Beni Nice Neylersin, Sen Beni Nice Neylersin. Ben Bir Güzel Açar Olup Sandığı Açacak Olsam, Seni De Yersem Neylersin, Balam Seni De Yersem Neylersin."
Ben Bir Avuç Kişnişem,Artvin,Artvin-Yöre Ekibi-Muzaffer Sarısözen,Ben Bir Avuç Kişnişem  (Vay Le Lele Lele Yâr) Cepden Cebe Düşmüşem (Vay Le Lele Lele Yâr) İster Al İster Alma (Vay Le Lele Lele Yâr) Alnına Yazılmışem (Vay Le Lele Lele Yâr) Sedef Düğme Miltana (Vay Le Lele Lele Yâr) Bir İlik Dik Miltana (Vay Le Lele Lele Yâr) Benim Gibi Yâr Gerek (Vay Le Lele Lele Yâr) Senin Gibi Sultana (Vay Le Lele Lele Yâr)
Ben Bir Geyik Gezer Gördüm,Rumeli,Rumeli-Yöre Ekibi-Muzaffer Sarısözen,Ben Bir Geyik Gezer Gördüm Yavruları Meler Gördüm Gelin Oldum Şimden Sonra El Anasına Ana Diyeceğim (El Babasına Baba Diyeceğim) Çekin Çekin Kır Atları Yükletelim Bakırları Gelin Biner Kavaklara Şavki Vurdu Dağa Taşa
Ben Bir Göçmen Kızı Gördüm Tuna Boyunda,Rumeli,Rumeli-Fethiye İşçiler-Havva Karakaş,Ben Bir Göçmen Kızı Gördüm Tuna Boyunda Elinde Bir Besli Kuzu Hem Kucağında  Doğru Söyle Göçmen Kızı Annen Var Mıdır  Ne Annen Var Ne Baban Var Kalmışım Öksüz  Sen Bir Öksüz Ben Bir Garip Alayım Seni  Alayımda Gurbet Elde Sarayım Seni Teligrafın Tellerinden Haber Varmı Dır? Ne Haber Var Ne Mektup Var Kalmışım Öksüz  Doğru Söyle Göçmen Kızı Annen Var Mıdır  Ne Annen Var Ne Baban Var Kalmışım Öksüz  Sen Bir Öksüz Ben Bir Garip Alayım Seni  Alayımda Gurbet Elde Sarayım Seni
Ben Bir Kavak Yol Üstüne Biterem,Erzurum,Erzurum-Seyfettin Sığmaz-Seyfettin Sığmaz,Ben Bir Kavak Yol Üstüne Biterim Gelip Gidenlere Gölge Ederim  Irgalanma Kavak Seni De Keserim  Budar Budar Odun Eder Satarım Güneş Vurmuş Boztepe'nin Başına Yeni Girmiş Onüç Ondört Yaşına  Irgalanma Kavak Seni De Keserim  Budar Budar Odun Eder Satarım
Ben Bir Köroğlu'yum Dağda Gezerim,Burdur,Burdur/Yeşilova-Ali Urhan-Salih Urhan,(Hey Hey) Ben Bir Köroğlu'yum Dağda Gezerim Esen Ölüzgerden Hile Sezerim Demir Külüngülen Başın Ezerim Ver Yolun Baçını Geç Geç Bezirgen
Ben Bir Sabah Erken Kalktım,Rumeli,Rumeli/Üsküp-Sabri Gencer-Nihat Kaya,Ben Bir Sabah Erken Kalktım Kendi Keyfime Kanadını Bülbül Açmış Beyler Köşküne Ağzından Bal Akıyor Kaymak Üstüne  Ah Beni Vurdu Bir Delikanlı  Elleri Var Olsun Hey Hey  Yaraladı Bir Delikanlı  Ömrü De Çok Olsun Hey Hey Uzun Kavak Sallanacak Dalın Kurusun Suya Düşen Yapracağı Suda Çürüsün Evvel Benim İdin Güzel Şimdi Kiminsin  Ah Beni Vurdu Bir Delikanlı  Elleri Var Olsun Hey Hey  Yaraladı Bir Delikanlı  Ömrü De Çok Olsun Hey Hey
Ben Bir Yakub İdim Kendi Halımda,Şanlıurfa,Şanlıurfa-Ahmet Uzungöl-Mehmet Özbek,Ben Bir Yakub İdim Kendi Halımda Mevlamın Kelâmı Vardı Dilimde Yusuf'u Kaybettim Ken'an İlinde  Ağlar Yakub Ağlar Yusuf'um Deyu  Gitti De Gelmedi Vah Yavrum Deyu Yusuf'um Hocada Okumaz Oldu Onun Bülbül Dili Şakımaz Oldu Alnındaki Nuru Berk Urmaz Oldu  Ağlar Yakub Ağlar Yusuf'um Deyu  Gitti De Gelmedi Vah Yavrum Deyu Yusuf'u Götürdüler Ölüm Kastine Attılar Kuyuya Başı Üstüne İhlas İle Çıktı Suyun Üstüne  Ağlar Yakub Ağlar Yusuf'um Deyu  Gitti De Gelmedi Vah Yavrum Deyu Bir Bezirgân Geldi Üç Aylık Yoldan Yusuf'u Çıkardı Kırk Arşın Kuyudan Keremkâri Kıldı Mısır'a Sultan  Ağlar Yakub Ağlar Yusuf'um Deyu  Gitti De Gelmedi Vah Yavrum Deyu Cem Olup Geldiler Kenanın Kurdu Biz Yemedik Deyü İçtiler Andı Yakub'un Feryadı Arşa Dayandı  Ağlar Yakub Ağlar Yusuf'um Deyu  Gitti De Gelmedi Vah Yavrum Deyu
Ben Bir Yarin Bakışına Mailem,Trabzon,Trabzon-Emine Tanaydın-Lütfiye Tanaydın-Muzaffer Sarısözen,Ben Bir Yârin Bakışına Mailem Ayda Bir Kerece Görsem Kailem (Vay Vay Sürmelim Vay) Ben Senden Selamı Keser Değilem Ölmeyince Vermem Yari Ellere (Vay Vay Sürmelim Vay) Şu Dağın Ardında Naneler Susuz Anne Ben Cahilem Duramam Yârsız (Vay Vay Sürmelim Vay) Hem Annesiz Hem Babasız Hem Yârsız Ölmeyince Vermem Yâri Ellere (Vay Vay Sürmelim Vay)
Ben Bir Yavru Gördüm Gözü Sürmeli (Dilber),,Aşık Hakverdi-,Ben Bir Yavru Gördüm (De) Gözü Sürmeli (Oy Oy) Sordum Senin Aslın Nereli Dilber (Dilber Oy) Aslı Horasan'dan (Ah Canım Canım Canım) Sökün Eylemiş Hünkâr Hacı Bektaş Bir Ali Dilber (Dilber Dilber Dilber Oy Oy) Görünce De Mail Oldum Boyuna (Oy Oy) Muhammed Mustafa (Da) Veli Soyuna (Soyuna) Sen Düşürdün Beni (Ah Canım Canım Canım) Aşkın Yayına Derdin Bu Sineme Gireli Dilber (Dilber Dilber Dilber Oy Oy) Zahmeride Bahçenizde Gül Olur Seni Seven Aşık Yanar Kül Olur Cümle Cihan Kapınızda Kul Olur (Kul Olur) Yandım Ateşine De Göreli Dilber (Dilber Dilber Dilber Oy Oy) Methettikçe Ben Pirimi Ederim Oy Oy Oy Oy Kaşları Kemanım Var Eli Niderim (Niderim) Durmam Gayrı Yalan Dünya Giderim (Giderim) Hakverdi'nin Bahtı Karalı Dilber (Dilber Dilber Dilber Oy Oy)
Ben Bir Yeşil Fenerim,Denizli,Denizli/Sarayköy/Salnaz Köyü-Rüştü Demirci-Ahmet Yamacı,Ben Bir Yeşil Fenerim (Amman Yele Yele Lom) Hem Yanar Hem Sönerim (Haydi Yele Yele Lom) Ben Nişanlı Değilim (Amman Yele Yele Lom) Kime Olsa Dönerim (Haydi Yele Yele Lom)  Aman Benim İpeğim (Amman Yele Yele Lom)  Derdimi Kime Dökeyim (Haydi Yele Yele Lom)  Al Yanağın Dururken (Amman Yele Yele Lom)  Yâr Nerenden Öpeyim (Haydi Yele Yele Lom) Kabağın Kökeniyim (Amman Yele Yele Lom) Ucunun Dökeniyim (Haydi Yele Yele Lom) Ben Güzele Varacam (Amman Yele Yele Lom) Çirkine Tövbeliyim (Haydi Yele Yele Lom)  Aman Benim İpeğim (Amman Yele Yele Lom)  Derdimi Kime Dökeyim (Haydi Yele Yele Lom)  Al Yanağın Dururken (Amman Yele Yele Lom)  Yâr Nerenden Öpeyim (Haydi Yele Yele Lom)
Ben Bu Aşkın Çilesini,,Seyrani,"Ben Bu Aşkın Çilesini Yanar Çektim, Tüter Çektim Yedim Gonca Sillesini  Bülbül Gibi Öter Çektim  Dizgin Etsem Gönül Atın Geçer Göğün Yedi Katın Yalan Dünya Maslahatın  Kah Bitmez, Kah Biter Çektim  Seyrani, Bilmem Mert Midir Yoksa Cana Cömert Midir Eyyub'un Derdi Dert Midir Ben Ondan Besbeter Çektim"
Ben Bu Dağın Ağacıyam (İlahi),Şanlıurfa,Şanlıurfa-Ahmet Yılmaztaş-Yavuz Tapucu,Ben Bu Dağın Ağacıyam Hem Datlıyam Hem Acıyam Ben Mevlanın Muhtacıyam  Gel Gör Beni Âşk Neyledi  Derde Giriftar Eyledi Beni Bu Dağda Buldular Kolum Kanadım Kırdılar Garip Olduğum Bildiler  Gel Gör Beni Âşk Neyledi  Derde Giriftar Eyledi
Ben Bu Yıl Yarımdan Ayrı Düşeli,Orta Anadolu,Orta Anadolu-Metin Öge-Erol Parlak,Ben Bu Yıl Yarımdan Ayrı Düşeli  Her Günüm Bir Yıla Döndü Gidiyor  Yine Zindan Oldu Dünya Başıma  Gönlüm Ataşlara Yandı Gidiyor  Uzaktır Yolların Dolandım Geldim  Datlıdır Dillerin Bağlandım Kaldım  Günahı Boynuna İşte Ben Öldüm  Gönlüm Ataşlara Yandı Gidiyor  (Ömrüm Boş Hayale Kandı Gidiyor)
Ben Buralı Değilum,Trabzon,Trabzon/Maçka-İhsan Eyüboğlu-Işık Başel,Ben Buralı Değilum Hamsiköy’dür Durağum Sevdum Da Alamadum Budur Benum Merağum (Oy Oy Oy) Hamsiköy Dedukleri İki Dağın Arasi (E Gız) Yarum Senin Yüzünden Yedum Biçak Yarasi (Oy Oy Oy) Gelur Kizları Oturur Maçka’nın Pazarina Sevdaluktan Ölenun Nur Yağsun Mezarina (Oy Oy Oy)
Ben Böyle Diyarı Neylerim Sensiz,,Hasan Basri Kılıç-Erhan Yılmaz,Ben Böyle Diyarı Neylerim Sensiz Sen Gelmezsen Arguvana Gidemem Sensiz Adım Atan Dinsiz İmansız Sen Gelmezsen Arguvana Gidemem Malatyaya Gidemem Pötürgeye Gidemem Ben Ölürüm Gidemem Sen Gelmezsen Arguvana Gidemem Malatyaya Gidemem Pötürgeye Gidemem Ben Ölürüm Gidemem Dostunan Dostluğu Derin Güderim Dünya Benim Olsa Sensiz Neylerim Senin İle Cehenneme Giderim Sen Gelmezsen Arguvana Gidemem Malatyaya Gidemem Pötürgeye Gidemem Ben Ölürüm Gidemem Sen Gelmezsen Arguvana Gidemem Malatyaya Gidemem Pötürgeye Gidemem Ben Ölürüm Gidemem
Ben De Bildim Taze Gelin Olmuşsun,Gaziantep,Gaziantep-Hasan Hüseyin-Plâktan Yazıldı,Erkek  Ben De Bildim Taze Gelin Olmuşsun Geyinmiş Kuşanmış Alınan Gelir (Ey) Girmiş Bahçasına Dermiş Dövşürmüş  Dostunu Görmeye Gülünen Gelir (Ey) Kadın Senden Ayrılalı Bir Gün Gülmedim Nişanım Sendedir Yâr Safa Geldin (Ey) Ben Göynümü Kimselere Vermedim Derdimin Dermanı Yâr Safa Geldin (Ey) Erkek  Yeter Oldu Bu Sitemler Yetişir Göz Göz Oldu Kara Bağrım Tutuşur Ben Zannettim Dudu Kumru Ötüşür Sevdiğim Bana Şirin Dilinen Gelir (Ey) Kadın  Yıkılsın Bahçalar Harı Neyleyim Dökülsün Ayvalar Narı Neyleyim Daha Senden Başka Yari Neyleyim Nişanım Sendedir Yâr Safa Geldin (Ey)
Ben De Bu Dünyaya Geldim Geleli,Manisa,Manisa/Kula-Âşık Halil Yıldız-İsmet Egeli,Ben De Şu Dünyaya Geldim Geleli Talihim Güldürmez Gülmedi Gitti Var Olupta Ben Kendimi Bileli Gönül Arzusunu Bulmadı Gitti Boşa Çıktı Hayallerim Hislerim Acıları Bensiz Nerde Beslerim Sadık Bilip Güvendiğim Dostlarım Kadir Kıymetimi Bilmedi Gitti Halil Semavi’yim Gönlüm Garidi Kervanım Da Ağır Ağır Yürüdü Hangi Çeşmeye Vardımsa Gurudu Şu Küçücük Kabım Dolmadı Gitti
Ben De Gittim Bir Geyiğin Avına,Adana,Adana-Aziz Şenses-Ahmet Yamacı,Ben De Gittim Bir Geyiğin Avına Geyik Çekti Beni Kendi Dağına Tövbeler Tövbesi Geyik Avına Siz Gidin Kardaşlar Kaldım Burada Aman Anam Burada Siz Gidin Avcılar Kaldım Burada Aman Anam Burada Ben Giderken Kaya Başı Kar İdi Yel Vurdu Da Erim Erim Eridi Ak Bilekler Taş Üstünde Çürüdü Urganım Kayada Asılı Kaldı Esbabım Sandıkta Basılı Kaldı Nişanlım Sılada Küsülü Kaldı
Ben De Haydarlı'Dan Beli Gelirim,Sivas,Sivas/Sarıca Köyü-Nurşen Sarıca-Metin Eryürek,Ben De Haydarlı'dan Belli Gelirim Gul Olur Da Gapınızda Galırım Üç Günden Sonra Da Gelin Olurum  Akan Sular Aleni Aleni Yâr  Coşkun Sular Gel Dolanı Dolanı Yâr Gümüş Güğümlerde Gaynadım Coştum Kendi Yağım İle Gavruldum Piştim Gadirim Giymetim Bilmeze Düştüm  Akan Sular Aleni Aleni Yâr  Coşkun Sular Gel Dolanı Dolanı Yâr Ağacın Çürüğü Özünden Olur Yâr İçin Ağlayan Gözünden Olur Yiğidin İyisi Sözünden Olur  Akan Sular Aleni Aleni Yâr  Coşkun Sular Gel Dolanı Dolanı Yâr Süpürge Devşirir Gelir Irmaktan Yüzükler Görünür Gargı Parmaktan Öldüm Bittim O Yâre Ağlamaktan  Akan Sular Aleni Aleni Yâr  Coşkun Sular Gel Dolanı Dolanı Yâr Cami Duvarının Goru Ben Olsam Oğlan Çiçek Olsa Arı Ben Olsam Şu Yiğidin Nazlı Yâri Ben Olsam  Akan Sular Aleni Aleni Yâr  Coşkun Sular Gel Dolanı Dolanı Yâr
Ben De Çıktım Fodullu'Nun Üstüne,Amasya,Amasya/Merzifon/Hayrettin Köyü-Hüseyin Onkar-Ankara Devlet Konservatuarı,Erkek  Ben De Çıktım Fodullu'nun Üstüne (Ey) Şahin Gibi Oturmuşdu Postuna (Ey) Guşluk Mehelleri Punar Üstüne (Ey) Bir Su Gönder Gız Tasınan Tasınan Kadın  Var Git Oğlan Var Git Deli Olmuşsun Deli Değil Sen Meylini Bulmuşsun El Sözüne Uymuş Buraya Gelmişsin Canım Çıksa Suyu Vermem Tasınan Erkek  Çoktan Beri At Üstünde Dururum (Ey) Ya Suyu Alır Ya Burda Ölürüm (Ey) Çeker Seni Gubur'unan Vururum (Ey) Bir Su Gönder Gız Tasınan Kadın  Hiç Bu Emanete Hile Olur Mu Dost Olan Dost Gusuruna Galur Mu Oğlan Çal Bakalım Gubur Alır Mı Canım Çıksa Suyu Vermem Tasınan Erkek Acı Demem Ben Bu Sudan İçerim (Ey) Tükmen Olur Yaylalara Göçerim (Ey) Gız Seni Şimdi Palaynan Biçerim (Ey) Bir Su Gönder Gız Tasınan Kadın  Terzi Olan Türlü Biçer Libayı Oğlan Başıma Da Yığdın Obayı Su Yerine Şimdi İçersin Ağıyı Canım Çıksa Suyu Vermem Tasınan
Ben De Şaştım Bu Gönlümün Elinden,Sivas,Sivas/Divriği-Nuri Üstünses-Muzaffer Sarısözen,Ben De Şaştım Bu Gönlümün Elinden Her Nereye Varsam (Aman) Yâr İster Benden Sanki Benim Mor Sümbüllü Bahçem Var Kara Kış Ayında (Aman) Gül İster Benden Bahçenizde Var Mı Elma Ağacı Dökülmüş Yaprağı (Aman) Kalmış Ağacı  Güzel Senin Bende Gönlün Yok İse Sen Bana Kardaş De (Aman) Ben Sana Bacı
Ben Derdimi Söyleyemem,,Aşık Hüdai-Nida Ateş,Ben Derdimi Söyleyemem Dilim Yaralı Yaralı Bülbülüm Amma Ötemem Gülüm Yaralı Yaralı Aşk Kitabını Açamam Akı Karadan Seçemem Kanadım Yokki Uçamam Kolum Yaralı Yaralı Hüdai Gafletten Uyan Her Geçen Günüm Bir Ziyan Ruh Bir Arı Vücut Kovan Balım Yaralı Yaralı
Ben Eleyim Eleyim,Rize,Rize-Osman Eyüpoğlu-Tahsin Uzun-Ahmet Yamacı,Kız  Ben Eleyim Eleyim Günlerum Gelsun Sağa Gelsun Senun Ellerun Koysun Beni Toprağa Erkek  Karanfilun Kökleri Dalsun Derune Dalsun Seni Alan Ezrail Beni Da Gelsun Alsun Kız  Kayalardan Kayarum Yirmi Dörttür Ayarum Sensuz Geçen Günleri Ömürden Mi Sayarum Erkek  Emine'm Çay Toplayı Gene Girdi Çayluğa Henem Evlenecağuk Bir Girersem Ayluğa Kız  Duman Dağun Üstüne Dumanlar Horon Eder Gel Beraber Kaçalum Beyuklarumuz Ne Der Erkek  Ah Kemençemin Yayi Dolayi Gel Dolayi O Yâr Almazsa Beni Nuskalondur Kolayi
Ben Feleği Gördüm Taştan İnerken,Bayburt,Bayburt-Remzi Cavıldak-Ahmet Yamacı,"Ben Feleği Gördüm Taştan İnerken Gırıldı Ganadım Celvan Ederken, Pervan Dönerken  Neynim Felek Neynim Ben Sana Neynim  Gırıldı Ganadım Celvan Ederken, Pervan Dönerken  Yüce Dağ Başında Kurdum Aşhane Vefasız Yar İçin Düştüm Daşhane Düştüm Daşhane  Neynim Felek Neynim Ben Sana Neynim  Gırıldı Ganadım Celvan Ederken, Pervan Dönerken  Yanarım Yanarım Tütünüm Tütmez Yarem İçerdendir Derman Kar Etmez, Lokman Kar Etmez  Neynim Felek Neynim Ben Sana Neynim  Gırıldı Ganadım Celvan Ederken, Pervan Dönerken"
